Review Text,sentimen,Rating
tolol,negative,1
kali kontrol benah jkn rs nya usa pakai jkn daftar h rs,negative,1
bantu tingkat layan masyarakat,positive,5
bantu sekalimudah,positive,5
apk ngelag mulu kocak kocak,negative,1
moga mudah,positive,5
akses cepat macet,positive,5
edit ulas yg susah otp kartu pulsa minimal rb muncul otp nya,negative,4
mudah rubah faskes,positive,5
tolong knp diupdate ga login udah masukin nik password yg,neutral,5
indonesia rakyat gak pny hp gk paham aplikasi jd tolong klo bikin aplikasi yg mudah paham sm orang indonesia kasi org dalam org miskin yg gk hp klo obat hrs pny hp guna bpjs faskes yg kambing hitam coba klo bikin atur tu yg mudah yg mulia rakyat jelata cm mw login aja susah udh aplikasi error byk kali kendala cm mw login pakai fiturfitur didlmny trmsk skrining pindah faskes,negative,1
bantu cuman suka ganggu jalan moga depan nya bijak bpjs masyarakat guna bpjs,positive,5
aplikasi koplok klo sistem serba online nga sok aplikasi daftar online gagal hubung server istri sakit klinik gigi rumkit wajib daftar online orang sistem kerja nga,negative,1
keren aplikasi bantu,positive,5
layan mantap ga pake ribet,positive,5
layan mantap ubah data langsung tangan,positive,5
bagus mudah kesana kemari,positive,5
satpam nya joss gandos,positive,5
aktifin bpjs mandiri gak masuk krn auto debit bank pilih cantum list pakai non bank top up nya sulit masalah bayar iur sulit tolong mobile jkn pilih bank nya tambah luas pakai bni pilih harus rekening perlu aplikasi yg beda andai bayar iur langsung kantor bpjs udah bayar langsung aja,negative,2
mudah praktis mengunakan fasilitas sehat,positive,5
bantu terimakasih,positive,5
bagus mudah erti,positive,5
sih mmbntu bayar rb yg pnting aman nya trmksh ya jkn,positive,5
aplikasi mudah guna bikin pusing log out log out login,neutral,1
mudah gak pakai ribet bangun malam tidur jam nomer jkn mobile membanntu,positive,5
membantujdi cepat tangan obat,positive,5
error banget masak gk daftar faskes tingkat mohon baik servernya,negative,2
coba layan call center astaghfirullah operator,neutral,2
dukung,positive,4
top abis,positive,5
daftar verifikasi situ cantum nomor lainaplikasi buruk bikin repot,negative,1
bpjs sehat okee,positive,5
bagus sih lbih cepat daftar bgi ga paham bikin binggung,positive,5
puas,positive,5
tolong fitur copy virtual akun,neutral,3
joss bantu,positive,5
nyusahin banget daftar nya verif pakai sms ga masuk masuk otp sms nya verif pakak email hrus verif dlu pakai sms verif muka ga detect trus aplikasi sebenrnya tolong susah guna tolong mudah verifnya ga pbjs full gratis bayar bulan,negative,1
jelwk sekalidulu pas knstall daftar ayah menkbggal langsung ubah serta aplkkasi nggan lihat data serta aja nggak diijinkan aplikaai sampah,negative,1
udah otp kali kali gamasuk verifikasi wajah susah baik napa,negative,1
susah daftar online puskesmasrs offline trs servernya coba coba trs gak pakai,negative,1
mobil jkn trobel,positive,5
tolong baik aplikasi orang berobatcontrol sulit riset password ngulang verifikasi otp nya bug emang aplikasi bejatt rusakk,negative,5
ok,positive,5
maklum aplikasi perintah cari cari duit nambah pajak aplikasi pulih pulih repot susah masuk tolong baik terima saran,negative,1
bagusss,positive,5
aplikasi yg menjengkelkanmasuk no nik pasword ssh benard salahd buka mudah,positive,1
bantu makasih,positive,5
ok banget simpel,positive,5
kode verifikasi otp nya ga kirim ini gimanaa verifikasi cobaaa ngalamin jugaa tungguin sampe habis engga muncul kode otp nyaa pulsa nomer aktif,negative,1
bantu aplikasi terima kasih jkn,positive,5
alam,positive,5
verifikasi,neutral,1
emang verifikasi no tlp nya sampe abad ya bikin susah aja,negative,1
install update aplikasi tdk update,negative,1
terimakasih ambil antre,neutral,5
cepat tepa,positive,5
akun logout kali nyoba masuk akun pas sampe proses masuk otp gak dapet otpnya,negative,2
perbaharyi pakai ambil antri online tolong baikin,negative,1
susah login belit,negative,1
puwas,positive,5
ber manfaat,positive,5
respon cepat,positive,5
ngga login kirim adu ngga suruh reset password apk nya ngga ngiri otp kali kali coba pulsa ngga solusi pdhl bulan,negative,1
susah banget login masuk nomor nik password berkalikali salah,negative,2
tolong baik sya ganti password reng minta proses sila coba udah mohon baik,neutral,1
apknya sangatt sulit hidup ratus kali coba daftar gagal kirim otp no hp terang tulis jaring jelekk jaring aman aja,negative,1
ga daftar ga jaring lancar lancar aja,negative,1
masya allah bantu,positive,5
terima kasih layan,positive,5
login aja ga aplikasi yg bikin susah orang,negative,1
layan yg mudah,positive,5
aplikasi nya bagus bantu,positive,5
aplikasi lambat tolong baik,negative,1
bagus,positive,5
aplikasi perintah buruk banget login gabisa uang kembang korup doang bisa,negative,1
bantu ubah data cepat,positive,5
parah kali kali daftar kode otp ga masuk udh tunggu tpi hsilnya nihil,negative,1
pliss tolong aplikasi terus update sebentar update update,neutral,2
aplikasi guna sulit rakyat,negative,1
update parahgak loginpadahal sinyal udah bagussaya kasih sdh baik,negative,2
mudah akses utk ecek sehat atw daftar bm utk cek up,positive,5
lag sinyal baguserror hari buat klo ga dipake,negative,1
g daftar g trs jaring normal bilang antri blm buka udah ngambil antri,neutral,1
batu,positive,5
aplikasi nya gak bagus udah ambil antri malam rumah sakit daftar,negative,1
pancasila,neutral,5
verifikasi kode otp sms manaaaaplikasi pmerintah bgni bgt ya butuh dftar bpjs suruh ksiniudah ksini gabisa ampun,negative,1
banget log out suka down yah servernya bisa dokterdokter kasih liat aplikasi hadir banget nih udah dokter gak gak tau yah jauhjauh gak cuman loh bolakbalik,negative,3
yahh aplikasi masuk trus gilir masuk gak tolong baik obat,negative,3
tolong admin masuk apps jkn kode otp nya masuk mobile nomor hp aktif daftar aman autodebit daftar muncul muncul kode otp nyaa mohon baik sistem,negative,1
verifikasi gak wajah kedetecd,neutral,2
jaman ai daftar aja sulit ajar coding ai,negative,1
plis deh gimana mw nambahin bintang pakai surugmh ferifikasi suruh ganti kode dah x ganti pasword ga login apssnya tolong jgn sulit dikit apdet jan,neutral,1
moga canggih,positive,5
alangkah baik aplikasi tingkat segi responsive forma segi fitur ok butuh layan aplikasi,positive,3
jam layan aplikasi sesuai jam layan dokter selisih jam,neutral,1
sih update isi aja berat ram,negative,3
aplikasi bantu baik pokok,positive,5
bagus,positive,5
aplikasi perintah emang ya errornya bug nya pake jaring wifi ga aneh bgt,negative,1
membantutapi tolong update,neutral,5
good,positive,5
aplikasi error hobi jam sesuai jam sesuai tambah log out otp susah ampun otp d suruh ganti password d ganti tulis masuk otp aplikasi aneh ga screenshot biar g bukti yaa klo error gw mw screenshot kirim jadwal dokter error ga aneh alas nomer sinyal ganggu aplikasi kecuali aplikasi dr,negative,1
apk ko log out,neutral,1
ok banget,positive,5
apl ribet,negative,2
suka aplikasi ambil antri antri tera jam layan aplikasi kode booking jelek aplikasi akun login beda batas loginnya lansia hp pasang aplikasi tolong batas akun login biar bantu lansia hp aplikasi maaf terimakasih,negative,3
mantap aplikasi mudah cepat,positive,5
terimakasih guna rasa manfaat,positive,5
ga ngerti aplikasi gmail ko nonik terdaptar in aplikasi perintah aplikasi pribadi,negative,1
yaa oke info nya trimaksih,positive,5
tolong banget verifikasi otpnya baik tunggu ga masukjuga kode aplikasi perintah loh bagus kaya gin hadeh,negative,1
bodoh apk mi sa coba verifikasi jg data ku sampah kode otp kagak yg masuk dongo nyalahin jaring apk mudah sulit,negative,1
aplikasi perintah koq abal log out otomatis masukin nik bilang daftar pas daftar nik daftar helloooooooo,negative,1
mohon utk apknya utk slalu informasi kait situasi butuh sehat yg betulbetul fasilitas yg pada sesuai perlu benerbener manfaat utk warga masyarakat yg perlu,positive,3
captch loding,neutral,1
bantu proses cepat pindah faskes,positive,5
developer fitur tuju kirim kode otp biar via sms ubah data nohp jarang telponsms,negative,4
guna mudah cepat,positive,5
akses cepat layan cepat moga maju,positive,5
aplikasi ny tolong baik masuk login masuk nik salah faskes daftar pke gmna mohon cerah ny,neutral,1
terimah kasih,positive,5
mudah layan sehat,positive,5
daftar autodebit kes olah tawar pencet batal stay menu login gak masuk aplikasi bpjs aktif maksa kalo gitu autodebit banget daftar autodebit langsung daftar autodebit login sih banget obat,negative,1
daftar gagal,negative,2
gak buka daftar kontrol,neutral,2
gimana screen shot jkn gk,negative,3
sy sdh daftar,neutral,2
capca ga muncul,neutral,1
terimakasih mobile jkn,positive,5
ubah data cepat,positive,5
udh kode otp g kirim dh nomor yg coba ga masuk habis dh masuk verifikasi nomor yg daftar laik nomor yg kirim aneh bnget suruh benerin pandawa udh coba g respon sampah banget iniiiiiiiiiiiiiii,negative,1
ribet,negative,1
knp aplikasi login,neutral,2
aplikasi nya buka,neutral,1
njr liat sms kode ngulag perintah ga becus banget bikin aplikasi,negative,2
aplikasi kesini parah ga login parah dah,negative,1
tolong tingkat kualitas aman masak udah daftar online tiba hilang,negative,4
aplikasi mudah,positive,5
aplikasi mutu notifikasi aplikasi jkn jalan emulator kondisi device root hp diroot,negative,1
layan nya puas,positive,5
aplikasi bosok gajelas samsek ganti pbpu aja susah bgt arah hubung pandawa tp pas dicrosscheck gbs tingkat layan rekrut orang it bener aktivasi pbpu kantor bpjs lgsg pas buka apk suruh ngisi rek autodebet trs gabisa masuk kode verifnya niat bikin apk ga si sulit doang bintang jg bagus apk,negative,1
lupa sandi verifikasi nomor hp aja udah ga kondisi urgen,negative,1
otp nya masuk masuk jam digital,negative,1
puas dgn mobile jkn smoga depan,positive,5
aplikasi tolol masuk ga,negative,1
mantan proses cepat,positive,5
please kasih anggar sih server aja kaya gak kuat nampung astaghfirullah capek banget daftar,negative,1
jam tutup buka sesuai fakta masak daftar antri puskesmas d tulis aplikasi jkn tutup jam jam tutup gimana,negative,2
bikin aplikasi sih gk bikin mudah mala bikin susah aplikasi busuk pakek aja lupa sandi cobak kali eror muluu mau suka nyusahin orang bayar bpjs gk gratis klw emang aplikasi gk layak gk pakek aplikasi bikin ribet aja udah sakit eh mala sulit,negative,1
gajelas aplikasi suka baik kualitas udh gitu ngubah jadwal dokter susah banget gabisa cancel gilir app rumah sakit nya trus nge bug gajelas mua daftar gabisa guna apasih ni aplikasi bikin emosi,negative,1
aplikasi nya bagus banget bantu kerja nya cepat pokok matap deh,positive,5
dipake error pagi,negative,1
mantull mantap,positive,5
gabisa buka apk jkn yah,negative,2
bagus mudah,positive,5
login captcha muncul direstart muncul tanda loading captcha,neutral,2
apk kek bangke ga kirim kode nya kartu nya hidup data lancar,negative,1
suka log out sdh kali kali masuk gagal,neutral,3
updt ga gilir ganti pswrd bnyak kendala aplikas tp kendala ga ponsel support sma apl,negative,1
daftar nik ktp gilir masuk no hp tunggu sms kode otpnya kali coba gak sms masuk,negative,3
bantu jamin sehat kitaterima kasih,positive,5
sinyal oke ganggu trus saat daftar pol hubung rs server logout,neutral,1
kode otp gak masuk,negative,1
poko oke,positive,5
bantu masyarakat,positive,5
aplikasi dobol ganggu gk login,negative,1
sanget bantu,positive,5
aplikasi yg bagus bantu cepat mudah bantu mudah antri cepat proses ubah data pindah faskes,positive,5
sulit verifikasi gagal bikin pusing verifikasi wajah gagal verifikasi nomor telepon nomor daftar isi pulsa verifikasi pake email jg gitu daftar mau gimana sih gitu bintang bohong keluh bintang,negative,2
mantullllll,neutral,5
susah pas daftar obat no hp daftar kode otp sulit,negative,1
sebal daftar tp ga masukskrng suruh daftar ribet ga efisien minimal kalo bikin aplikasi yg mudah yg ribet kalo ga ribet konoha nama,negative,1
matap bedelau,positive,5
bantu mudah urus bpjs,positive,5
stuck verifikasi nomor mulu gajelas nih apk kocakkkk,negative,1
aplikasi bantu,positive,5
bantu dgn fitur yg pas,positive,4
admind gagal veryfikasi wajah daftar orang tuju aplikasi mudah sulit digunakanmohon baik layan publik,negative,1
alhamdulillah puas bgt moga tolong org yg jkn,positive,5
akun verifikasi gilir verifikasi ulang nomer hp kosong pdahal dri msukin no hp susah,negative,4
mohon maaf update yg baru device nge blink kedap kedip pakai susah,negative,3
cepat efektif butuh sehat,positive,5
aplikasi trouble nya jaring udah bagus gabisa buka,negative,1
okee,positive,5
aplikasi nya dukung proses dgb cepat,positive,5
gak otp gak kirim kirim,negative,1
puas layan faskesnya ubah pindah faskes butuh detikterimakasih jkn mobile,positive,5
dah akses susah banget internet lancar loading banget mudah bikin sulit rumah sakit suruh ambil antri sumpah gak rekomendasi nih aplikasi,negative,1
moga bagus,positive,5
aplikasi eror gimana suruh login nik password salah trs,negative,1
mudah manfaat seluru rakyat indonesia makasih,positive,5
login susah pdhl udah bulan masuk,neutral,1
masuk akun susah bngt kena udh masuk akun skrg bikin akun kudu nikgiliran masuk nik nya mlah gk tlong donk mudah kasin jg yg gk hp mintak tolong masuk jkn jd gk dftr online,negative,3
otp ga kirim,negative,1
biar bintang bicara terimakasih rs siti khodijah trima kasibanyak ruang marwah,positive,5
gregetan bngt,neutral,1
ngebug ngelag pakai verifikasi wajah dipertahanin aplikasi kantor cabang burik apk buang buang anggar negara guna,negative,1
knpa gk download,negative,5
aplikasi mudah rakyat susah login bilang akun daftar daftar bilang akun sedia lupa password kode otp gak kirim kirim sampe mati susah mati ni aplikasi nyusahin banget sumpah,negative,1
respon cepat proses mudah,positive,5
senang layan,positive,3
very goog,positive,5
mudah integrasi langkah,positive,5
muas aplikasi,positive,4
aplikasi gagal internet lancar tpi gk akses jkn mobile,negative,1
urus sehat keluarga gampang proses apk mobile jkn,positive,5
apk dikit logout aja login tau logout bikin nyaman guna aja,negative,1
hebat moga maju,positive,5
daftar online ambil antre error mulu,negative,2
okmenunya ringkas jelasthanks,positive,5
the best,positive,5
serta ga ngetik nik nya ga pencet gimana nambah serta,negative,2
opsi bantuanpenanganan ubah data mohon mudah kerja sinkronisasi data terimakasih,neutral,5
tim developer mobile jkn aplikasi layan sehat game beta tahap cobacoba uinya lot parahbukan hp kentang xiaomi lite notabene mid high class tampil ngelag navigasi ngadat cocok lag simulator aplikasi fungsional hp gak masuk sekaliini aplikasi vital side project kampus,negative,1
lot muter capcha salah mulu,negative,1
aplikasi krusial indonesia user aplikasi update kali update musti login ulang beda aplikasi mudah masuk login ulang desak login sungguh praktis mudah sulit guna,negative,1
lot nunggunya,neutral,1
buka aplikasih login ulang repot orang tua,negative,2
bantu tingkat layan baik aplikasi orang awam mudah mengunakannya,positive,5
anggota keluarga alas nik daftar dukcapil hei keluar kk dukcapil daftar dukcapil bayar cepat gilir,negative,1
daftar coba payah,negative,1
update aplikasi suruh periksa jaring mulu yt dll aman aja aplikasi suruh periksa jaring mulu,negative,1
ambil antre online ga rekam medis faskes tuju udah klik tuju ga ngapain konfirmasi kalo ga klik tuju nya,negative,1
bermamfaat,positive,5
mudah lengkap,positive,5
mudah fitur bantu,positive,5
yah kaya yg orang nya pake asuransi swastaehh,negative,1
knp susah login nik ktp bilang salah nomor pdhal noyg masuk sdh sesuai ktp,neutral,3
ubah faskes ga udh tanggal nya tinggal ganti klik ga tolong bantu,positive,3
bantu ga ribet kantor bpjs ngantri tinggal klik klik beres fitur lebih nya lg ga percaya download donk,negative,5
mantap bantu,positive,5
susah login bingung,neutral,1
perubaban aplikask digital mudah terima kasih,positive,5
lumayan lancar ngak eror,positive,5
layan muas,positive,5
bingung kl ambil antri surat rujuk laku jawab blm rujujan,neutral,5
bagus mudah,positive,5
apk perintah busuk,negative,1
perintah tuh bikin aplikasi gak becus verifikasi wajah aja hari gagal siang teras rumah cerah gimana hah,negative,1
apl ga mutu pake duit rakyat,negative,1
aplikasi cacat jadul sulit doang ga ngirim otp pake wa pake sms aja jadull bgtt,negative,1
mantul jd mudah,positive,5
apliaksinya mudah udah obat jalan ranap,positive,5
apk nyaa aneh cuman kpke pas d pke tiba udh logout gk msuk lgi pdahal udah bener sandi no nya tetep aja gk masukmasuk,negative,1
apk mending gak aja sampe susah kali loginnya udh login entar pas login bilang device beda gak ganti ganti device,negative,1
terima kasihmempermudah urus,positive,5
maaf tambah serta isi nik,negative,4
tibatiba log out trus login eh daftar pas daftar no hp serta,negative,3
layan,positive,5
bantu,positive,5
apl bagus manfaat ribet tp skrg apl ku kunci mohon bantu,positive,5
mantab lancar,positive,5
daftar cepat mudah,positive,5
susah login,neutral,3
buruk logout login susah lg butuh obat apa kudu daftar online tp sdmny jd ruwet remuk,negative,1
banget gak notifikasi sms lupa sandi kode nya kirim sms gak muncul muncul,negative,1
,neutral,4
senang akses jkn informasi recording sehat,positive,4
aplikasi nya buruk sulit orang sakit gimana klo sakit orang kampung nenek gx hp gx obat gila emng konoha aplikasi sampah sistem nya ajj eror d pakai d negara loo,negative,1
update lha login skrg pakek nik login pakek no mna masuk klau bgini lha sya dlu daftar pakek no hp pemberitahuan pakek nik sya gak da pemberitahuan,negative,1
mudah wajib,positive,5
buka app login ulang,neutral,1
bantu aplikasi mobile jkn,positive,5
mudahresponsive,neutral,5
baikkk,neutral,5
layan bayar tawar bayar nonbank rumit doku isa indomaret finpay money via bank bca mandiri bri btn aneh bank milik negara kerja bni bsi bayar nonbank aplikasi milik perintah linkaja ga sinkron integrasi sistem bayar perintah kerja ga pegawai bpjs lembaga perintah ga sistem bumn,negative,1
moga,positive,5
kemaren aplikasi mobile jkn layar hitam obat ndak daftar,negative,4
mudah bantu proses daftar faskes tingkat,positive,5
matab,neutral,5
aplikasi mantap banget,positive,5
pas login capcha munculmuter muter aja terusribet ni apk chapcha gk muncul muncul woy bangkegmna loginapk cacat,negative,1
terima kasih,positive,5
makasih jkn,positive,5
terimakasih kasih layan nya ibubpk,positive,5
bantu layan sehat,positive,5
alhamdulillah guna lancar obat rs,positive,5
ya masukin gak nunggu ambil nomer antre langsung tiba kayak eror,negative,5
oke udah bikin rekening mandiri mbanking daftarin autodebet bank mandiri popup muncul sila daftar mbanking tetep aja nih bodoh ngga tolong sila pilih kanal banknon bank sedia gw udah bikin rekening bikin mbanking pilih kanal bank muncul popup sila daftar mbanking solusi omong kosong,negative,1
daftar antre layan gak rekam medis sedia tolong,neutral,1
serta tolong,neutral,3
informasi akurat cepat manfaat,positive,5
siip mantap terimakasih bpjs,positive,5
mudah aplikasi,positive,5
mudah guna bpjs,positive,5
gagal kirim sms otp gmail gagal kali kali selesai isi data lengkap kait otp paksa tunggu detik otp masuk sms gmail,negative,1
mobile jkn layan yg mudah prima,positive,5
tolong bantu masyarakat mudah akses layan sehat,positive,5
aplikasi bantu,positive,5
meringksn beban,neutral,5
woi butuh banget pas daftar aja ngestuck no otp perintah aplikasi nyusahin bener,negative,1
lupa sandi kode otp sms email,negative,3
impormasi mudah obat,positive,5
aplikasi gajelas gak ubah muter muter doang,negative,1
oke terimakasih,positive,5
bantu masyarakat,positive,5
layan ramah,positive,5
serba gampang,positive,5
aplikasi gim sih kemarinbisa gilir pas dirs kontrol mutertrus,negative,1
no internet,neutral,3
mudah akses apa ribet banget,positive,1
apk nda hitam ga buka,negative,1
kirim kode otp verifikasi no hp lamaaaaaaa banget,negative,1
daftar online gagal hubung server ujungujungnya daftar offline manual rumah sakit rujuk,negative,1
tolong verifikasi no handphone kirim pesan aplikasi whatsapp nunggu sms kagak munculmuncul,negative,5
nomor antri screenshot bantu anggota keluarga kirim obat mohon baik,neutral,4
jkn bagus terima kasih,positive,5
ngehang,neutral,5
mantappp,positive,5
susah kali masuk nya,neutral,1
mudah cepat praktis mantap,positive,5
suruh verifikasi wajah gagal sy penuh syarat verifikasi email gak suruh nomor hp nomor hp daftar aktif chat nomor whatsaap pandawa nya suruh care center gak hubung jam susah sih aplikasi suruh pindah pindah mulu ujung gak ribet mudah sulit bintang,negative,1
mohon mudah ubah data onkine,positive,5
aplikasi yg sederhana manfaat rakyat indonesia,positive,5
aplikasi masalah verifikasi,neutral,1
download buka ngblank,neutral,4
mantap apk nyatnks jkn mobil,positive,5
mudah nyaman,positive,5
sih bug,negative,1
klw respon cepat,positive,5
mudah layan perintah,positive,5
bantu keluarga,positive,5
batu keluarga obat,positive,5
niat kerja ngk sihkirim kode aja gk masuk masukgk bs registrasi,negative,1
puas layan,positive,5
daftar akun sulit verifikasi wajah orang tua perintah senyum orang tua wajah ekspresif usaha senyum yaa batas gitu gagal verifikasi wajah verifikasi,negative,1
aplikasi tolol daftar aja slalu data lengkap sisa foto langsung wajah slalu gagal aplikasi tolol,negative,1
log in aja susah gmn daftar online faskes parah banget aplikasi update bagus,negative,1
bagus baik,positive,5
,neutral,5
makasiiih,neutral,5
update mulu,negative,5
aplikasi ngebug,negative,1
manfaat,positive,5
eror,neutral,1
aplikasi tolol ga ambil antri orang obat aja susah,negative,1
apalikasi anmau daftar susah nya ampunkatanya mudahmalah susah,neutral,1
aplikasi jelek jam,negative,5
dafta online pilih nama milik kartu blank it nya canggih,negative,1
sangar,neutral,5
layan yg bang,positive,5
offline daftar online parah orang obat daftar anjur online offline,neutral,1
mudah informatif,positive,5
mantap moga depan mantap lg,positive,5
aplikasi bai,negative,5
apk sampah rumit,negative,1
daftar aja ribet banget udah kali kali daftar gagal terustanya doter klinik aplikasi eror,negative,1
aplikasi log out coba masuk susah alas pasword salah masuk tolong aplikasi bagus,negative,2
apk mantap and top pokok nya,positive,5
mudah obat,positive,5
mobile aplikasi fast respon sangar bantu good job bpjs,positive,5
ok banget,positive,5
mantap,positive,5
aplikasi nya cepat,positive,5
rusakk,neutral,1
aplikasi bantu,positive,5
jurdil aja thanks,positive,5
bayar tulis bukti lunas akun daftar lg,neutral,1
jam nunggu atur ulangsandi byu byu,negative,1
susah verifikasi nya gagal sms email,negative,2
uda daftar pas login klik masuk gk trs pdhl sinyal apk aman gmn sy obat klo kaya gin,negative,1
kasih bintang maaf nih min ny jkn hp sya udah daftar antre rujuk tanggal maret nih cuman nge drop bawa langsung masuk igd tanggal control tuh tuh daftar antre yg antre belum ny batalin sekramg pas ngasih alesan batalin tiba text antri tdk temu solusi atuh min,negative,2
gak ni aplikasi errormau masuk gak bisaudah loginsering logout sendiriklo blm bikin aplikasigak pake aplikasi,negative,1
menu guna kayak ecommerce coba adakan menu bayar fungsi qris scan guna instansi sdm pikir,positive,1
non aktif,neutral,5
mudah cepat aplikasi,positive,5
moga,positive,5
mudah mengaksesnyadan tingkat layan masyarakat damai sejahtera,positive,4
terimakasih mobile jkn mudah dlm layan,positive,5
aplikasi ga ganggu mulu notif ofline jaring bagus udah pake wifi ganggu pake data udah hapus instal mending pas pake bhayangkara jkn aplikasi ga,negative,1
ga daftar kak,negative,1
guna mudah,positive,5
terima kasih layan yg,positive,5
mantabh boss que,neutral,5
syukur aplikasi bantu recommend banget trimakasih,positive,5
aplikasi nya bagus sy suka sy begadang darah sy coba daftar darah,positive,1
suruh login ulang apk buka,neutral,1
akurat,positive,5
bayar otomatis bjb kadang fungsi bayar manual,neutral,4
batal daftar data booking temu,negative,3
meringankandan mudah,positive,5
tau aplikasi mudah,positive,5
bug nya benerin jaring lancar anggep offline gw kontrol nenek gw tunda tundan aelah,neutral,1
update cepat,positive,5
mantaaffff,neutral,5
aaplikasi sampah,negative,1
tolong pol ptm adakan,neutral,2
hp android jadul gk download tdk kompatibel,negative,2
easy to operate as it is truly friendly interface,positive,5
baik contoh kali update mesti login ulang ribet,neutral,2
gampang gk ribet,negative,5
ribet parah gimana kalo guna nya orang tua paham teknologi sulit orang mua sehat pusing aplikasi,negative,1
satpam sigap,positive,5
kesel ih daftar cerita cek kode verif email gak notifnya eh pas masuk aplikasi beranda gak langsung masukin kode mudah dipersulittt,negative,1
oon beut ni apk bilang nya mudah ganti sulit minimal benerin deh heran skrang pake apk mending ga ngebug apknya log out kudu masuk captcha ga muncul benerin min aplikasi,negative,1
mobil jkn aplikasi yg mudah anda obat aplikasi initerkadang absen no lokasi obat ubah nomor yg yg dahulu,positive,5
tolong baik aplikasi y biar mudah sulit priksa aja daftar online aplikasi y error mulu,negative,1
ll,neutral,5
alhamdulillah bantu bpjs moga masyarakat semangat mudah obat masyarakat moga bpjs sukses,positive,5
bantu bidang kesehatanpengobatan,positive,5
mudah praktis hemat,positive,4
log out yah udah coba log in tp gagal mulu udah bener gimana sih,negative,1
proses respon cepat,positive,5
aplikasi mudah makasih jkn mobile,positive,5
ga d buka alas,neutral,4
dih bgt aplikasi mudah mala sulit pas verifikasi nungguin kode pas uda gabisa kode salah kode lu kirim kode togel kah,negative,1
aplikasi update kali selesai update nik ribet ya bolak isi nik,negative,3
moga akses baik daftar terlogout mesti login login login mesti rebut kuota eh telat login gagal daftar rs rujuk,neutral,3
,neutral,4
nya no antri suka ngilang sndri jdi susah liat nya,neutral,4
top,positive,5
aplikasi memudahkandan tugas ramahcepattrimasih satpam,negative,5
,neutral,5
apk kusutperbarui log in ulang muter trs gak jls,negative,1
daftar faskes reservasi aplikasi verifikasi wajah susah banget,neutral,5
bantu mudah akses layan sehat,positive,5
susah masukapalagi angka captcha loading,negative,2
verifikasi wajah akses terusss sulit stiap pas,neutral,1
kali aplikasi nyuruh isi nomor telfon bisa nya tulis nomor serta lainkurleb suru ganti gitu hadu sulit inimah,negative,1
mudah,positive,5
tolong dibenerin bug nya ambil antri notif ambil antri tgl yg daftar antri kalo ujung daftar manual regist daftar faskes alih via mobile providernya blm,negative,2
daftar aktiv pas buka print buka,neutral,3
bagus oke,positive,5
aplikasi bantu repot hemat antri,positive,5
jkn nya login isi pulsa kecewa kali,negative,1
alam suruh farmasi cobak bukak antri jkn anjur begadang rebut nomer begadang nya jm pagi apk nya eror lajur nomer kunjung dokter molor istri hamil tua ibu ngidap hipatitis nunggu masuk hapir jm tolong baik apk,neutral,2
terima kasih layan ramah sangga bantu,positive,5
mudah sulit aplikasi jelek,negative,1
tanggap cepat,positive,5
daftar online kontrol rumkitsudah mendownload bsa scan wajah,negative,1
bantu data valid,positive,5
mntap bantu,positive,5
ngurusi online parah loading nggak selesai itnya suruh tidur aja offline ngantri nggak karuan paraaah,negative,1
tolong status bpjs gw aktif home screen status non aktif kocak banget dah,negative,1
terimakasih jkn mobil rubah faskes daerah,positive,5
verifikasi wajah gagal gimana sih mudah mlh susah ngga emang,negative,1
login nya jd susah slah,neutral,1
maaf enak aplikasi tpi klo login trus ga nyaman kadang lupa pasword ganti pasword tpi tunggu otp masuk email no hp bngetstengah jam login masuk knpa aplikasi terimakasih,neutral,3
ram masuk jkn masalah,neutral,2
nggk hubung rumah sakit server gagal,negative,1
mudah akses layan sehat bpjs,positive,5
cek in eror trsmohon baik sistem,negative,1
sulit daftar pulsa min rb gimana kalo darurat nunggu isi pls kalo org tua yg ga ngerti susah daftar yg kaya kalo ga pulsa ga daftar perintah sulit rakyat yg miskin,negative,1
aplikasi banget ganggu jaring internet lancar daftar online gak ajah ky siang harisore ambil nomor daftar online,negative,5
log out habis g masuk nik slah paswort g tolong bantu krna seksng pake online sampe capek ber ulang kali longin g,negative,1
aplikasi kek gak niat inversi kamera beda user nengok kanan aplikasi kir usaha inversi kamera atur susah,negative,1
mobile jkn mudah layan,positive,5
bobrok ga ambil antre online dokter blm jadwal,negative,1
aplikasi mudah paham,positive,5
good poko,positive,5
daftar online full,positive,4
payahsetiap kali buka aplikasi log inpadahal terdaftarlom log in masuk susah banget,negative,1
lupa sandi mobile jkn tekan lupa sandi kirim kode otp milik pulsa coba terus pulsa habis kode otpnya muncul mohon baik sistem,negative,1
mantap bantu aplikasi,positive,5
kirim otp kendalabeberapa kali coba hasil,negative,1
terimakasih teguh bantu alih nya,positive,5
situs aplikasi perintah sampah gak guna bug lot susah verifikasi,negative,1
pas verifikasi nomor kolom pilih nya kosong,negative,1
ko enga bs,neutral,5
daftar masuk bisatiba masuk gak bisamohon bantuanya,negative,5
mantap manfaat,positive,5
bagus ikhlas bersemangtttt,positive,4
udh download trus daftar kta nya no hp udh daftar bru download,negative,4
mobile jkn pilih menu canal autodebet butuh ubah autodebet manual aplikasi terupdate tolong bantu,negative,3
bantu aplikasi yg bagus mudah sehat,positive,5
senang mobile jln mudah daftar,positive,4
apk paksa rilis kendala falam bayar auto debet,negative,2
